"","leto","drzava","drzavljanstvo","spol","stevilo"
"291",2008,"Czech Republic","Former Yugoslav Republic of Macedonia, the","Males",363
"292",2008,"Czech Republic","Former Yugoslav Republic of Macedonia, the","Females",87
"293",2008,"Czech Republic","Turkey","Males",119
"294",2008,"Czech Republic","Turkey","Females",45
"295",2008,"Czech Republic","Andorra","Males",0
"296",2008,"Czech Republic","Andorra","Females",0
"297",2008,"Czech Republic","Albania","Males",21
"298",2008,"Czech Republic","Albania","Females",9
"299",2008,"Czech Republic","Bosnia and Herzegovina","Males",402
"300",2008,"Czech Republic","Bosnia and Herzegovina","Females",44
"301",2008,"Czech Republic","Belarus","Males",301
"302",2008,"Czech Republic","Belarus","Females",309
"303",2008,"Czech Republic","Faroes (DK)","Males",0
"304",2008,"Czech Republic","Faroes (DK)","Females",0
"305",2008,"Czech Republic","Guernsey","Males",0
"306",2008,"Czech Republic","Guernsey","Females",0
"307",2008,"Czech Republic","Gibraltar (UK)","Males",0
"308",2008,"Czech Republic","Gibraltar (UK)","Females",0
"309",2008,"Czech Republic","Isle of Man","Males",0
"310",2008,"Czech Republic","Isle of Man","Females",0
"311",2008,"Czech Republic","Jersey","Males",0
"312",2008,"Czech Republic","Jersey","Females",0
"313",2008,"Czech Republic","Monaco","Males",0
"314",2008,"Czech Republic","Monaco","Females",0
"315",2008,"Czech Republic","Moldova","Males",1762
"316",2008,"Czech Republic","Moldova","Females",886
"317",2008,"Czech Republic","Montenegro","Males",5
"318",2008,"Czech Republic","Montenegro","Females",5
"319",2008,"Czech Republic","Serbia","Males",165
"320",2008,"Czech Republic","Serbia","Females",70
"321",2008,"Czech Republic","Russia","Males",2567
"322",2008,"Czech Republic","Russia","Females",2972
"323",2008,"Czech Republic","San Marino","Males",0
"324",2008,"Czech Republic","San Marino","Females",0
"325",2008,"Czech Republic","Ukraine","Males",16772
"326",2008,"Czech Republic","Ukraine","Females",11284
"327",2008,"Czech Republic","Vatican City State","Males",0
"328",2008,"Czech Republic","Vatican City State","Females",0
"329",2008,"Czech Republic","Kosovo (under United Nations Security Council Resolution 1244/99)","Males",NA
"330",2008,"Czech Republic","Kosovo (under United Nations Security Council Resolution 1244/99)","Females",NA
"331",2008,"Czech Republic","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Males",40
"332",2008,"Czech Republic","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Females",18
"333",2008,"Czech Republic","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Males",0
"334",2008,"Czech Republic","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Females",0
"335",2008,"Czech Republic","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Males",0
"336",2008,"Czech Republic","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Females",0
"337",2008,"Czech Republic","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Males",103
"338",2008,"Czech Republic","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Females",36
"339",2008,"Czech Republic","Recognised non-citizens","Males",5
"340",2008,"Czech Republic","Recognised non-citizens","Females",3
"341",2008,"Czech Republic","Other european countries (aggregate changing according to the context)","Males",NA
"342",2008,"Czech Republic","Other european countries (aggregate changing according to the context)","Females",NA
"343",2008,"Denmark","Belgium","Males",65
"344",2008,"Denmark","Belgium","Females",53
"345",2008,"Denmark","Bulgaria","Males",423
"346",2008,"Denmark","Bulgaria","Females",283
"347",2008,"Denmark","Czech Republic","Males",79
"348",2008,"Denmark","Czech Republic","Females",74
"349",2008,"Denmark","Germany (until 1990 former territory of the FRG)","Males",1610
"350",2008,"Denmark","Germany (until 1990 former territory of the FRG)","Females",1540
"351",2008,"Denmark","Estonia","Males",64
"352",2008,"Denmark","Estonia","Females",104
"353",2008,"Denmark","Ireland","Males",57
"354",2008,"Denmark","Ireland","Females",37
"355",2008,"Denmark","Greece","Males",75
"356",2008,"Denmark","Greece","Females",42
"357",2008,"Denmark","Spain","Males",297
"358",2008,"Denmark","Spain","Females",215
"359",2008,"Denmark","France","Males",381
"360",2008,"Denmark","France","Females",295
"361",2008,"Denmark","Croatia","Males",16
"362",2008,"Denmark","Croatia","Females",19
"363",2008,"Denmark","Italy","Males",384
"364",2008,"Denmark","Italy","Females",182
"365",2008,"Denmark","Cyprus","Males",4
"366",2008,"Denmark","Cyprus","Females",0
"367",2008,"Denmark","Latvia","Males",222
"368",2008,"Denmark","Latvia","Females",229
"369",2008,"Denmark","Lithuania","Males",620
"370",2008,"Denmark","Lithuania","Females",493
"371",2008,"Denmark","Luxembourg","Males",2
"372",2008,"Denmark","Luxembourg","Females",3
"373",2008,"Denmark","Hungary","Males",227
"374",2008,"Denmark","Hungary","Females",193
"375",2008,"Denmark","Malta","Males",2
"376",2008,"Denmark","Malta","Females",6
"377",2008,"Denmark","Netherlands","Males",243
"378",2008,"Denmark","Netherlands","Females",165
"379",2008,"Denmark","Austria","Males",45
"380",2008,"Denmark","Austria","Females",54
"381",2008,"Denmark","Poland","Males",4167
"382",2008,"Denmark","Poland","Females",2508
"383",2008,"Denmark","Portugal","Males",83
"384",2008,"Denmark","Portugal","Females",57
"385",2008,"Denmark","Romania","Males",858
"386",2008,"Denmark","Romania","Females",562
"387",2008,"Denmark","Slovenia","Males",29
"388",2008,"Denmark","Slovenia","Females",35
"389",2008,"Denmark","Slovakia","Males",194
"390",2008,"Denmark","Slovakia","Females",126
"391",2008,"Denmark","Finland","Males",112
"392",2008,"Denmark","Finland","Females",174
"393",2008,"Denmark","Sweden","Males",587
"394",2008,"Denmark","Sweden","Females",694
"395",2008,"Denmark","United Kingdom","Males",655
"396",2008,"Denmark","United Kingdom","Females",355
"397",2008,"Denmark","Iceland","Males",570
"398",2008,"Denmark","Iceland","Females",553
"399",2008,"Denmark","Liechtenstein","Males",0
"400",2008,"Denmark","Liechtenstein","Females",0
"401",2008,"Denmark","Norway","Males",550
"402",2008,"Denmark","Norway","Females",872
"403",2008,"Denmark","Switzerland","Males",46
"404",2008,"Denmark","Switzerland","Females",47
"405",2008,"Denmark","Former Yugoslav Republic of Macedonia, the","Males",23
"406",2008,"Denmark","Former Yugoslav Republic of Macedonia, the","Females",47
"407",2008,"Denmark","Turkey","Males",298
"408",2008,"Denmark","Turkey","Females",285
"409",2008,"Denmark","Andorra","Males",0
"410",2008,"Denmark","Andorra","Females",0
"411",2008,"Denmark","Albania","Males",10
"412",2008,"Denmark","Albania","Females",13
"413",2008,"Denmark","Bosnia and Herzegovina","Males",52
"414",2008,"Denmark","Bosnia and Herzegovina","Females",61
"415",2008,"Denmark","Belarus","Males",37
"416",2008,"Denmark","Belarus","Females",34
"417",2008,"Denmark","Faroes (DK)","Males",0
"418",2008,"Denmark","Faroes (DK)","Females",0
"419",2008,"Denmark","Guernsey","Males",0
"420",2008,"Denmark","Guernsey","Females",0
"421",2008,"Denmark","Gibraltar (UK)","Males",0
"422",2008,"Denmark","Gibraltar (UK)","Females",0
"423",2008,"Denmark","Isle of Man","Males",0
"424",2008,"Denmark","Isle of Man","Females",0
"425",2008,"Denmark","Jersey","Males",0
"426",2008,"Denmark","Jersey","Females",0
"427",2008,"Denmark","Monaco","Males",0
"428",2008,"Denmark","Monaco","Females",0
"429",2008,"Denmark","Moldova","Males",27
"430",2008,"Denmark","Moldova","Females",29
